user_id,user_url,funny,posted,item_id,helpful,recommend,sentiment_analysis
76561198066046412,http://steamcommunity.com/profiles/76561198066046412,2.0,2015-05-19,219640,1 of 5 people (20%) found this review helpful,True,2
tru_mu_,http://steamcommunity.com/id/tru_mu_,,2015-12-15,287980,No ratings yet,True,2
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,,,218620,No ratings yet,True,1
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,,2015-08-21,208090,No ratings yet,True,1
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,1.0,2014-10-17,242700,No ratings yet,True,1
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,,2014-06-27,570,No ratings yet,False,1
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,,2014-04-28,224260,No ratings yet,True,1
SavageEeEe,http://steamcommunity.com/id/SavageEeEe,,2015-11-12,221100,0 of 8 people (0%) found this review helpful,True,2
76561198076909484,http://steamcommunity.com/profiles/76561198076909484,,2014-06-18,570,No ratings yet,True,0
Leaf_Light_Moscow,http://steamcommunity.com/id/Leaf_Light_Moscow,,,323370,No ratings yet,True,2
GoAwayZach,http://steamcommunity.com/id/GoAwayZach,,2014-12-29,304930,No ratings yet,True,2
76561198061252210,http://steamcommunity.com/profiles/76561198061252210,,2015-05-21,730,0 of 1 people (0%) found this review helpful,True,2
OfficialShroomsy,http://steamcommunity.com/id/OfficialShroomsy,,2013-12-06,113200,No ratings yet,True,0
boydeer,http://steamcommunity.com/id/boydeer,,2014-05-12,440,4 of 4 people (100%) found this review helpful,True,1
boydeer,http://steamcommunity.com/id/boydeer,,2015-08-24,383080,4 of 7 people (57%) found this review helpful,False,1
VVillis,http://steamcommunity.com/id/VVillis,,2015-01-06,213670,No ratings yet,True,1
76561198170198366,http://steamcommunity.com/profiles/76561198170198366,,,271290,No ratings yet,True,2
diego9031,http://steamcommunity.com/id/diego9031,,,4000,0 of 1 people (0%) found this review helpful,True,1
diego9031,http://steamcommunity.com/id/diego9031,,,317360,0 of 1 people (0%) found this review helpful,True,1
diego9031,http://steamcommunity.com/id/diego9031,1.0,2015-12-05,223710,No ratings yet,True,1
diego9031,http://steamcommunity.com/id/diego9031,,2015-10-04,299360,No ratings yet,True,1
diego9031,http://steamcommunity.com/id/diego9031,,2015-10-03,322330,No ratings yet,True,2
diego9031,http://steamcommunity.com/id/diego9031,,2015-08-13,1250,No ratings yet,True,1
diego9031,http://steamcommunity.com/id/diego9031,,2015-02-22,12100,No ratings yet,True,1
diego9031,http://steamcommunity.com/id/diego9031,,2015-01-14,204360,No ratings yet,True,2
diego9031,http://steamcommunity.com/id/diego9031,,2013-12-14,440,No ratings yet,True,0
diego9031,http://steamcommunity.com/id/diego9031,,2013-12-01,224260,No ratings yet,True,2
jarrodtrim,http://steamcommunity.com/id/jarrodtrim,,2012-02-11,440,No ratings yet,True,2
76561198067936203,http://steamcommunity.com/profiles/76561198067936203,,2015-03-12,440,1 of 1 people (100%) found this review helpful,True,2
76561198079770573,http://steamcommunity.com/profiles/76561198079770573,,2015-10-14,1840,3 of 6 people (50%) found this review helpful,True,1
76561198087586464,http://steamcommunity.com/profiles/76561198087586464,,2013-10-27,440,1 of 1 people (100%) found this review helpful,True,2
76561198070194565,http://steamcommunity.com/profiles/76561198070194565,,2014-10-09,233250,0 of 11 people (0%) found this review helpful,True,1
76561198070194565,http://steamcommunity.com/profiles/76561198070194565,,,449140,No ratings yet,True,1
76561198070194565,http://steamcommunity.com/profiles/76561198070194565,,,368730,No ratings yet,True,1
76561198070194565,http://steamcommunity.com/profiles/76561198070194565,,,246280,No ratings yet,True,1
76561198070194565,http://steamcommunity.com/profiles/76561198070194565,,,427270,No ratings yet,True,2
76561198070194565,http://steamcommunity.com/profiles/76561198070194565,,,397100,No ratings yet,True,1
76561198070194565,http://steamcommunity.com/profiles/76561198070194565,,2015-11-09,248570,No ratings yet,True,1
Rivtex,http://steamcommunity.com/id/Rivtex,,2015-12-23,298630,0 of 1 people (0%) found this review helpful,True,1
sandwiches1,http://steamcommunity.com/id/sandwiches1,,2015-11-23,417860,No ratings yet,False,1
76561198138053270,http://steamcommunity.com/profiles/76561198138053270,,2014-06-01,218620,No ratings yet,True,2
Life-Of-Blu,http://steamcommunity.com/id/Life-Of-Blu,,2015-11-13,377160,1 of 5 people (20%) found this review helpful,True,2
Life-Of-Blu,http://steamcommunity.com/id/Life-Of-Blu,,2013-12-15,211820,No ratings yet,True,2
CaptianAutismo,http://steamcommunity.com/id/CaptianAutismo,1.0,2015-12-17,252490,No ratings yet,True,2
76561198075895633,http://steamcommunity.com/profiles/76561198075895633,,2014-10-26,440,1 of 1 people (100%) found this review helpful,True,2
iamthekingofbrowntown,http://steamcommunity.com/id/iamthekingofbrowntown,,2015-09-12,344760,3 of 4 people (75%) found this review helpful,False,0
iamthekingofbrowntown,http://steamcommunity.com/id/iamthekingofbrowntown,,2015-09-13,252950,1 of 1 people (100%) found this review helpful,True,1
iamthekingofbrowntown,http://steamcommunity.com/id/iamthekingofbrowntown,1.0,,236430,2 of 5 people (40%) found this review helpful,True,1
iamthekingofbrowntown,http://steamcommunity.com/id/iamthekingofbrowntown,,2015-10-14,399730,No ratings yet,True,2
MainScout,http://steamcommunity.com/id/MainScout,,,550,1 of 1 people (100%) found this review helpful,True,2
yookobz,http://steamcommunity.com/id/yookobz,,2015-11-19,377160,1 of 3 people (33%) found this review helpful,True,2
yookobz,http://steamcommunity.com/id/yookobz,,2013-06-25,219150,No ratings yet,True,2
Mossy_Gaming,http://steamcommunity.com/id/Mossy_Gaming,,2015-09-26,440,1 of 1 people (100%) found this review helpful,True,2
76561198087407319,http://steamcommunity.com/profiles/76561198087407319,,2014-01-15,440,1 of 1 people (100%) found this review helpful,True,0
76561198056741844,http://steamcommunity.com/profiles/76561198056741844,,2014-10-14,730,2 of 3 people (67%) found this review helpful,True,1
76561198030567998,http://steamcommunity.com/profiles/76561198030567998,2.0,2014-11-11,332800,194 of 282 people (69%) found this review helpful,True,1
76561198030567998,http://steamcommunity.com/profiles/76561198030567998,,2015-07-21,319630,1 of 2 people (50%) found this review helpful,True,2
76561198030567998,http://steamcommunity.com/profiles/76561198030567998,,2015-07-05,6020,No ratings yet,True,1
76561198030567998,http://steamcommunity.com/profiles/76561198030567998,,2015-03-12,55230,No ratings yet,True,2
76561198030567998,http://steamcommunity.com/profiles/76561198030567998,,2014-02-23,32430,No ratings yet,True,2
Coldaniel,http://steamcommunity.com/id/Coldaniel,,2015-03-22,35450,1 of 1 people (100%) found this review helpful,True,2
Coldaniel,http://steamcommunity.com/id/Coldaniel,,2014-08-21,440,1 of 1 people (100%) found this review helpful,True,2
Coldaniel,http://steamcommunity.com/id/Coldaniel,,2015-03-13,236390,2 of 5 people (40%) found this review helpful,True,2
therealmorty,http://steamcommunity.com/id/therealmorty,,2015-03-20,351570,No ratings yet,True,2
therealmorty,http://steamcommunity.com/id/therealmorty,,2015-03-07,212680,No ratings yet,True,0
Berserklejerker,http://steamcommunity.com/id/Berserklejerker,,2015-10-10,391540,2 of 3 people (67%) found this review helpful,True,1
76561198061730629,http://steamcommunity.com/profiles/76561198061730629,,2014-07-06,550,0 of 1 people (0%) found this review helpful,True,2
YoHuNz,http://steamcommunity.com/id/YoHuNz,,2014-06-19,440,1 of 1 people (100%) found this review helpful,True,1
YoHuNz,http://steamcommunity.com/id/YoHuNz,,2014-02-19,570,1 of 1 people (100%) found this review helpful,True,1
76561198093112529,http://steamcommunity.com/profiles/76561198093112529,,2014-08-09,440,3 of 3 people (100%) found this review helpful,True,1
76561198060447950,http://steamcommunity.com/profiles/76561198060447950,,2015-09-26,200510,No ratings yet,True,2
whiteofwolfing,http://steamcommunity.com/id/whiteofwolfing,,2015-05-22,730,2 of 2 people (100%) found this review helpful,True,2
76561198081962345,http://steamcommunity.com/profiles/76561198081962345,,,200210,No ratings yet,True,2
76561198081962345,http://steamcommunity.com/profiles/76561198081962345,,2014-04-05,1250,No ratings yet,True,1
76561198073210139,http://steamcommunity.com/profiles/76561198073210139,,,304050,0 of 2 people (0%) found this review helpful,True,0
76561198056290589,http://steamcommunity.com/profiles/76561198056290589,,2014-12-16,730,No ratings yet,True,2
Hirukaz,http://steamcommunity.com/id/Hirukaz,,2013-01-17,550,0 of 1 people (0%) found this review helpful,True,0
76561198183396245,http://steamcommunity.com/profiles/76561198183396245,,2015-05-06,440,No ratings yet,True,2
76561198090715178,http://steamcommunity.com/profiles/76561198090715178,,2014-03-28,4000,1 of 1 people (100%) found this review helpful,True,2
76561198090715178,http://steamcommunity.com/profiles/76561198090715178,,2014-07-09,304930,No ratings yet,True,2
CatsWhale,http://steamcommunity.com/id/CatsWhale,,2015-02-23,333950,1 of 2 people (50%) found this review helpful,True,0
CatsWhale,http://steamcommunity.com/id/CatsWhale,,2015-08-29,388520,No ratings yet,True,2
CatsWhale,http://steamcommunity.com/id/CatsWhale,,2014-11-23,107410,No ratings yet,True,0
CatsWhale,http://steamcommunity.com/id/CatsWhale,,2014-09-09,206210,No ratings yet,True,1
76561198073784601,http://steamcommunity.com/profiles/76561198073784601,,2015-03-26,221100,3 of 6 people (50%) found this review helpful,True,2
76561198073784601,http://steamcommunity.com/profiles/76561198073784601,2.0,,299740,0 of 18 people (0%) found this review helpful,False,0
mimimomoma,http://steamcommunity.com/id/mimimomoma,,2015-11-23,730,No ratings yet,True,0
76561198102410011,http://steamcommunity.com/profiles/76561198102410011,,2015-09-14,440,No ratings yet,True,1
de_Butl3r,http://steamcommunity.com/id/de_Butl3r,,2014-10-13,209870,3 of 8 people (38%) found this review helpful,True,0
76561198027947401,http://steamcommunity.com/profiles/76561198027947401,2.0,,322170,1 of 2 people (50%) found this review helpful,True,2
76561198027947401,http://steamcommunity.com/profiles/76561198027947401,,,304050,1 of 3 people (33%) found this review helpful,True,2
76561198074200011,http://steamcommunity.com/profiles/76561198074200011,,2015-11-15,730,No ratings yet,True,2
jonasdbomb,http://steamcommunity.com/id/jonasdbomb,2.0,,346110,2 of 12 people (17%) found this review helpful,True,2
L1J1N,http://steamcommunity.com/id/L1J1N,1.0,2014-06-13,570,1 of 2 people (50%) found this review helpful,True,2
YieuwMage,http://steamcommunity.com/id/YieuwMage,,,730,1 of 1 people (100%) found this review helpful,True,2
76561198078752187,http://steamcommunity.com/profiles/76561198078752187,,2014-12-16,240,No ratings yet,True,0
A-Very-Sly-Person,http://steamcommunity.com/id/A-Very-Sly-Person,,2015-08-14,304930,No ratings yet,True,1
A-Very-Sly-Person,http://steamcommunity.com/id/A-Very-Sly-Person,,2014-11-11,440,No ratings yet,True,1
76561198211054671,http://steamcommunity.com/profiles/76561198211054671,,,730,0 of 1 people (0%) found this review helpful,True,0
76561198211054671,http://steamcommunity.com/profiles/76561198211054671,,,333930,No ratings yet,True,0
Koolcaz12,http://steamcommunity.com/id/Koolcaz12,3.0,,298050,16 of 48 people (33%) found this review helpful,False,2
76561198188979775,http://steamcommunity.com/profiles/76561198188979775,,,440,0 of 1 people (0%) found this review helpful,True,2
DemonicWolvz,http://steamcommunity.com/id/DemonicWolvz,,2015-01-15,55230,1 of 1 people (100%) found this review helpful,True,2
DemonicWolvz,http://steamcommunity.com/id/DemonicWolvz,,2015-04-29,232090,No ratings yet,True,2
DemonicWolvz,http://steamcommunity.com/id/DemonicWolvz,,2015-03-29,4000,No ratings yet,True,0
DemonicWolvz,http://steamcommunity.com/id/DemonicWolvz,,2014-11-23,206420,No ratings yet,True,2
DemonicWolvz,http://steamcommunity.com/id/DemonicWolvz,,2014-02-12,224260,No ratings yet,True,0
DemonicWolvz,http://steamcommunity.com/id/DemonicWolvz,,2013-12-26,550,No ratings yet,True,2
GGargula,http://steamcommunity.com/id/GGargula,1.0,,570,3 of 7 people (43%) found this review helpful,False,1
GGargula,http://steamcommunity.com/id/GGargula,,2015-11-23,233250,2 of 5 people (40%) found this review helpful,True,1
Myther43,http://steamcommunity.com/id/Myther43,,,273350,1 of 3 people (33%) found this review helpful,True,2
76561198141443390,http://steamcommunity.com/profiles/76561198141443390,3.0,2015-05-03,730,3 of 4 people (75%) found this review helpful,True,2
76561198097333029,http://steamcommunity.com/profiles/76561198097333029,,,570,No ratings yet,True,0
whodafuqisthisguilao,http://steamcommunity.com/id/whodafuqisthisguilao,,2015-08-06,730,No ratings yet,True,2
Magjiikal,http://steamcommunity.com/id/Magjiikal,,2015-10-05,370480,2 of 2 people (100%) found this review helpful,True,2
Magjiikal,http://steamcommunity.com/id/Magjiikal,,2015-12-17,313740,1 of 2 people (50%) found this review helpful,True,2
76561198050347115,http://steamcommunity.com/profiles/76561198050347115,6.0,,292030,9 of 10 people (90%) found this review helpful,True,2
2768820078,http://steamcommunity.com/id/2768820078,4.0,2015-09-01,287700,4 of 5 people (80%) found this review helpful,True,1
2768820078,http://steamcommunity.com/id/2768820078,1.0,,730,2 of 2 people (100%) found this review helpful,False,1
2768820078,http://steamcommunity.com/id/2768820078,2.0,,310950,2 of 3 people (67%) found this review helpful,True,1
2768820078,http://steamcommunity.com/id/2768820078,,2015-11-18,377160,No ratings yet,True,1
2768820078,http://steamcommunity.com/id/2768820078,,2015-08-08,221380,No ratings yet,True,1
2768820078,http://steamcommunity.com/id/2768820078,,2015-07-15,333950,No ratings yet,True,1
2768820078,http://steamcommunity.com/id/2768820078,,2015-06-12,222420,No ratings yet,False,1
2768820078,http://steamcommunity.com/id/2768820078,,2015-05-19,271590,No ratings yet,True,1
2768820078,http://steamcommunity.com/id/2768820078,,2015-05-11,298110,No ratings yet,True,1
2768820078,http://steamcommunity.com/id/2768820078,,2015-05-02,222440,No ratings yet,True,1
76561198056392326,http://steamcommunity.com/profiles/76561198056392326,,,259530,No ratings yet,True,1
76561198056392326,http://steamcommunity.com/profiles/76561198056392326,,,219640,No ratings yet,False,1
76561198056392326,http://steamcommunity.com/profiles/76561198056392326,,,269210,No ratings yet,False,1
76561198078478151,http://steamcommunity.com/profiles/76561198078478151,,,730,No ratings yet,True,1
exiaez,http://steamcommunity.com/id/exiaez,,,365450,No ratings yet,True,1
76561198095921854,http://steamcommunity.com/profiles/76561198095921854,,2015-05-01,245620,2 of 3 people (67%) found this review helpful,True,2
2xDelorean,http://steamcommunity.com/id/2xDelorean,,2015-09-13,570,No ratings yet,True,1
2xDelorean,http://steamcommunity.com/id/2xDelorean,1.0,2013-07-26,212680,No ratings yet,True,2
2xDelorean,http://steamcommunity.com/id/2xDelorean,,2013-05-18,200210,No ratings yet,True,2
2xDelorean,http://steamcommunity.com/id/2xDelorean,,2011-10-30,440,No ratings yet,True,2
washington_,http://steamcommunity.com/id/washington_,,,440,2 of 3 people (67%) found this review helpful,False,0
washington_,http://steamcommunity.com/id/washington_,,,4000,0 of 1 people (0%) found this review helpful,True,2
washington_,http://steamcommunity.com/id/washington_,,,211820,No ratings yet,True,1
washington_,http://steamcommunity.com/id/washington_,,,10180,No ratings yet,True,1
washington_,http://steamcommunity.com/id/washington_,,,252490,No ratings yet,True,1
washington_,http://steamcommunity.com/id/washington_,,2015-12-13,417860,No ratings yet,True,1
jewxxl,http://steamcommunity.com/id/jewxxl,,2015-05-18,251970,5 of 8 people (63%) found this review helpful,True,2
76561198088944293,http://steamcommunity.com/profiles/76561198088944293,1.0,,359550,1 of 2 people (50%) found this review helpful,True,1
76561198088944293,http://steamcommunity.com/profiles/76561198088944293,,,107410,0 of 1 people (0%) found this review helpful,True,2
76561198088944293,http://steamcommunity.com/profiles/76561198088944293,,,218230,0 of 5 people (0%) found this review helpful,False,1
76561198088944293,http://steamcommunity.com/profiles/76561198088944293,7.0,,437701,17 of 89 people (19%) found this review helpful,False,1
76561198088944293,http://steamcommunity.com/profiles/76561198088944293,,2014-12-13,304930,No ratings yet,True,1
nubquake123,http://steamcommunity.com/id/nubquake123,,2014-04-21,265610,3 of 3 people (100%) found this review helpful,True,2
76561198109656922,http://steamcommunity.com/profiles/76561198109656922,,,440,1 of 1 people (100%) found this review helpful,True,2
CobRazor,http://steamcommunity.com/id/CobRazor,,2015-08-01,252490,0 of 1 people (0%) found this review helpful,True,0
relesprit,http://steamcommunity.com/id/relesprit,,2013-12-27,8930,2 of 2 people (100%) found this review helpful,True,2
wantmahbody,http://steamcommunity.com/id/wantmahbody,,2014-05-03,440,1 of 1 people (100%) found this review helpful,True,2
76561198115868847,http://steamcommunity.com/profiles/76561198115868847,,,219640,2 of 3 people (67%) found this review helpful,False,0
benedictcuminherbatch,http://steamcommunity.com/id/benedictcuminherbatch,,2014-08-02,570,0 of 1 people (0%) found this review helpful,True,2
76561198031207016,http://steamcommunity.com/profiles/76561198031207016,,2014-03-17,8930,1 of 1 people (100%) found this review helpful,True,2
76561198043458582,http://steamcommunity.com/profiles/76561198043458582,,2015-07-19,105600,2 of 2 people (100%) found this review helpful,True,0
76561198043458582,http://steamcommunity.com/profiles/76561198043458582,,2015-05-26,221100,1 of 3 people (33%) found this review helpful,True,2
76561198043458582,http://steamcommunity.com/profiles/76561198043458582,,2015-11-22,107410,No ratings yet,True,2
76561198043458582,http://steamcommunity.com/profiles/76561198043458582,,2014-10-18,231430,No ratings yet,True,1
smashiroshh,http://steamcommunity.com/id/smashiroshh,,2014-12-30,218620,No ratings yet,True,2
shark854,http://steamcommunity.com/id/shark854,,,225540,2 of 3 people (67%) found this review helpful,True,2
1337lolroflmao,http://steamcommunity.com/id/1337lolroflmao,1.0,2015-04-13,271590,1 of 2 people (50%) found this review helpful,True,1
1337lolroflmao,http://steamcommunity.com/id/1337lolroflmao,,2014-10-01,218620,1 of 2 people (50%) found this review helpful,True,2
1337lolroflmao,http://steamcommunity.com/id/1337lolroflmao,1.0,2013-12-28,219740,1 of 2 people (50%) found this review helpful,True,2
1337lolroflmao,http://steamcommunity.com/id/1337lolroflmao,,2013-12-28,7940,1 of 3 people (33%) found this review helpful,True,2
1337lolroflmao,http://steamcommunity.com/id/1337lolroflmao,,2014-11-30,234190,0 of 1 people (0%) found this review helpful,True,0
1337lolroflmao,http://steamcommunity.com/id/1337lolroflmao,,2013-12-28,10180,0 of 2 people (0%) found this review helpful,True,2
1337lolroflmao,http://steamcommunity.com/id/1337lolroflmao,,2013-12-28,33900,0 of 2 people (0%) found this review helpful,True,2
1337lolroflmao,http://steamcommunity.com/id/1337lolroflmao,,2015-01-05,261030,0 of 3 people (0%) found this review helpful,True,2
1337lolroflmao,http://steamcommunity.com/id/1337lolroflmao,,2014-12-23,243470,0 of 3 people (0%) found this review helpful,True,0
sithjjf,http://steamcommunity.com/id/sithjjf,,2015-09-01,302830,0 of 1 people (0%) found this review helpful,False,0
76561198060039459,http://steamcommunity.com/profiles/76561198060039459,,2014-10-04,570,No ratings yet,False,1
76561198065593074,http://steamcommunity.com/profiles/76561198065593074,1.0,2015-11-06,304930,1 of 3 people (33%) found this review helpful,False,0
76561198065593074,http://steamcommunity.com/profiles/76561198065593074,,,730,No ratings yet,False,0
76561198065593074,http://steamcommunity.com/profiles/76561198065593074,,2015-09-23,304050,No ratings yet,True,2
76561198065593074,http://steamcommunity.com/profiles/76561198065593074,,2014-05-31,203750,No ratings yet,True,0
euzi,http://steamcommunity.com/id/euzi,,2014-07-26,236390,0 of 1 people (0%) found this review helpful,True,2
76561197961778802,http://steamcommunity.com/profiles/76561197961778802,,2014-04-23,730,No ratings yet,True,2
lucasrash,http://steamcommunity.com/id/lucasrash,,,440,No ratings yet,True,1
thisissohardtomakeoneup,http://steamcommunity.com/id/thisissohardtomakeoneup,,2014-04-12,440,3 of 3 people (100%) found this review helpful,True,1
76561198087010391,http://steamcommunity.com/profiles/76561198087010391,,2015-04-04,4000,2 of 2 people (100%) found this review helpful,True,2
66666669999999,http://steamcommunity.com/id/66666669999999,,2015-01-05,302830,No ratings yet,False,1
76561198061174192,http://steamcommunity.com/profiles/76561198061174192,,2014-09-14,220200,No ratings yet,True,2
76561198061174192,http://steamcommunity.com/profiles/76561198061174192,,2014-09-14,242760,No ratings yet,True,2
76561198084390807,http://steamcommunity.com/profiles/76561198084390807,,2015-12-01,234792,No ratings yet,True,1
76561198084390807,http://steamcommunity.com/profiles/76561198084390807,,2014-05-10,252490,No ratings yet,True,2
76561198028286104,http://steamcommunity.com/profiles/76561198028286104,1.0,2013-12-26,10180,2 of 2 people (100%) found this review helpful,True,2
76561198104393251,http://steamcommunity.com/profiles/76561198104393251,1.0,2015-03-13,304930,No ratings yet,True,1
76561198075322986,http://steamcommunity.com/profiles/76561198075322986,2.0,,730,2 of 2 people (100%) found this review helpful,True,1
76561198151910904,http://steamcommunity.com/profiles/76561198151910904,1.0,,252950,No ratings yet,True,2
76561198071214618,http://steamcommunity.com/profiles/76561198071214618,,2015-05-11,268750,No ratings yet,True,2
76561198071175142,http://steamcommunity.com/profiles/76561198071175142,,2015-08-10,570,0 of 1 people (0%) found this review helpful,True,2
76561198071175142,http://steamcommunity.com/profiles/76561198071175142,,2015-07-07,271590,0 of 1 people (0%) found this review helpful,True,2
Sammeh00,http://steamcommunity.com/id/Sammeh00,,2014-11-04,301520,0 of 3 people (0%) found this review helpful,True,2
76561198045754869,http://steamcommunity.com/profiles/76561198045754869,3.0,2015-08-07,335670,2 of 2 people (100%) found this review helpful,True,0
76561198076098774,http://steamcommunity.com/profiles/76561198076098774,,2015-08-02,215080,No ratings yet,True,2
76561198103253374,http://steamcommunity.com/profiles/76561198103253374,,2014-02-24,570,No ratings yet,True,0
76561198048417105,http://steamcommunity.com/profiles/76561198048417105,,2015-12-28,271590,1 of 1 people (100%) found this review helpful,True,2
76561198048417105,http://steamcommunity.com/profiles/76561198048417105,,2015-02-27,730,1 of 1 people (100%) found this review helpful,True,2
76561198048417105,http://steamcommunity.com/profiles/76561198048417105,,,244160,4 of 7 people (57%) found this review helpful,True,2
76561198048417105,http://steamcommunity.com/profiles/76561198048417105,,,270880,No ratings yet,True,2
76561198090842891,http://steamcommunity.com/profiles/76561198090842891,,2015-01-16,8190,0 of 1 people (0%) found this review helpful,True,2
76561198055767971,http://steamcommunity.com/profiles/76561198055767971,,2015-06-10,247730,0 of 1 people (0%) found this review helpful,False,0
adohya343,http://steamcommunity.com/id/adohya343,,,303390,No ratings yet,False,1
76561198145436942,http://steamcommunity.com/profiles/76561198145436942,1.0,2014-08-02,221100,4 of 5 people (80%) found this review helpful,True,2
76561198079990063,http://steamcommunity.com/profiles/76561198079990063,,2014-03-14,231040,No ratings yet,True,2
76561198051017916,http://steamcommunity.com/profiles/76561198051017916,,2015-05-30,351040,No ratings yet,True,1
76561198051017916,http://steamcommunity.com/profiles/76561198051017916,,2014-05-26,250600,No ratings yet,True,1
76561198096766604,http://steamcommunity.com/profiles/76561198096766604,1.0,,301520,4 of 4 people (100%) found this review helpful,False,0
76561197995322437,http://steamcommunity.com/profiles/76561197995322437,,2015-07-23,264710,1 of 1 people (100%) found this review helpful,True,2
76561198084542731,http://steamcommunity.com/profiles/76561198084542731,,2015-01-16,206420,No ratings yet,True,1
76561198084542731,http://steamcommunity.com/profiles/76561198084542731,,2014-02-16,47790,No ratings yet,True,2
GamerFag,http://steamcommunity.com/id/GamerFag,,2012-07-15,440,No ratings yet,True,2
GamerFag,http://steamcommunity.com/id/GamerFag,,2011-01-27,70,No ratings yet,True,0
GamerFag,http://steamcommunity.com/id/GamerFag,,2011-01-27,420,No ratings yet,True,2
GamerFag,http://steamcommunity.com/id/GamerFag,,2011-01-27,380,No ratings yet,True,2
GamerFag,http://steamcommunity.com/id/GamerFag,,2011-01-27,220,No ratings yet,True,2
GamerFag,http://steamcommunity.com/id/GamerFag,,2010-12-16,1250,No ratings yet,True,2
76561198092227136,http://steamcommunity.com/profiles/76561198092227136,,2014-09-11,730,2 of 5 people (40%) found this review helpful,True,2
76561198092227136,http://steamcommunity.com/profiles/76561198092227136,,2014-05-26,1250,No ratings yet,True,1
hellcat59,http://steamcommunity.com/id/hellcat59,,2014-07-18,4000,2 of 3 people (67%) found this review helpful,True,2
76561198007584361,http://steamcommunity.com/profiles/76561198007584361,,2015-09-10,401650,4 of 23 people (17%) found this review helpful,True,2
tbimperator,http://steamcommunity.com/id/tbimperator,,2012-05-22,35450,No ratings yet,True,2
Allahu_Akbar666,http://steamcommunity.com/id/Allahu_Akbar666,,2015-01-17,230410,1 of 2 people (50%) found this review helpful,True,2
Allahu_Akbar666,http://steamcommunity.com/id/Allahu_Akbar666,,2014-10-24,304930,No ratings yet,False,0
76561198054040292,http://steamcommunity.com/profiles/76561198054040292,,2015-03-13,298260,No ratings yet,True,0
I_DID_911_JUST_SAYING,http://steamcommunity.com/id/I_DID_911_JUST_SAYING,,,214420,No ratings yet,True,2
I_DID_911_JUST_SAYING,http://steamcommunity.com/id/I_DID_911_JUST_SAYING,,,365670,No ratings yet,True,1
I_DID_911_JUST_SAYING,http://steamcommunity.com/id/I_DID_911_JUST_SAYING,,,440,No ratings yet,True,2
I_DID_911_JUST_SAYING,http://steamcommunity.com/id/I_DID_911_JUST_SAYING,,,4000,No ratings yet,True,2
I_DID_911_JUST_SAYING,http://steamcommunity.com/id/I_DID_911_JUST_SAYING,,2013-05-06,221260,No ratings yet,True,0
diabeticfuck,http://steamcommunity.com/id/diabeticfuck,3.0,2015-08-31,218620,2 of 6 people (33%) found this review helpful,True,0
